year,month,region,category,sub_category,product_name,total_sales,total_profit,quantity,actual_sales,forecast_sales,forecast_lower_ci,forecast_upper_ci
2014,1,Central,Furniture,Bookcases,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",141.96,39.7488,2,14236.895,14790.550983830712,601.2433990349308,30129.39793888236
2014,1,Central,Furniture,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,272.94,30.0234,3,14236.895,14790.550983830712,601.2433990349308,30129.39793888236
2014,1,Central,Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",76.728,-53.7096,3,14236.895,14790.550983830712,601.2433990349308,30129.39793888236
2014,1,Central,Furniture,Furnishings,Ultra Door Push Plate,14.73,4.8609,3,14236.895,14790.550983830712,601.2433990349308,30129.39793888236
2014,1,Central,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",247.716,93.5816,4,14236.895,14790.550983830712,601.2433990349308,30129.39793888236
2014,1,Central,Office Supplies,Art,Newell 312,9.344,1.168,2,14236.895,14790.550983830712,601.2433990349308,30129.39793888236
2014,1,Central,Office Supplies,Art,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,43.92,12.7368,3,14236.895,14790.550983830712,601.2433990349308,30129.39793888236
2014,1,Central,Office Supplies,Binders,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",10.43,-18.2525,7,14236.895,14790.550983830712,601.2433990349308,30129.39793888236
2014,1,Central,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",19.05,8.9535,5,14236.895,14790.550983830712,601.2433990349308,30129.39793888236
2014,1,Central,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,3.54,-5.487,2,14236.895,14790.550983830712,601.2433990349308,30129.39793888236
2014,1,Central,Office Supplies,Binders,Storex Dura Pro Binders,29.7,13.365,5,14236.895,14790.550983830712,601.2433990349308,30129.39793888236
2014,1,Central,Office Supplies,Binders,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,10.68,5.0196,2,14236.895,14790.550983830712,601.2433990349308,30129.39793888236
2014,1,Central,Office Supplies,Fasteners,"Alliance Big Bands Rubber Bands, 12/Pack",5.94,0.0,3,14236.895,14790.550983830712,601.2433990349308,30129.39793888236
2014,1,Central,Office Supplies,Labels,Avery 508,11.784,4.2717,3,14236.895,14790.550983830712,601.2433990349308,30129.39793888236
2014,1,Central,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",16.448,5.5512,2,14236.895,14790.550983830712,601.2433990349308,30129.39793888236
2014,1,Central,Office Supplies,Paper,Xerox 1972,10.56,4.752,2,14236.895,14790.550983830712,601.2433990349308,30129.39793888236
2014,1,Central,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,13.98,4.0542,1,14236.895,14790.550983830712,601.2433990349308,30129.39793888236
2014,1,Central,Office Supplies,Storage,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,66.58,15.9792,2,14236.895,14790.550983830712,601.2433990349308,30129.39793888236
2014,1,Central,Office Supplies,Storage,SAFCO Boltless Steel Shelving,272.736,-64.7748,3,14236.895,14790.550983830712,601.2433990349308,30129.39793888236
2014,1,Central,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,229.94,6.8982,2,14236.895,14790.550983830712,601.2433990349308,30129.39793888236
2014,1,Central,Technology,Accessories,Memorex Micro Travel Drive 8 GB,31.2,9.75,3,14236.895,14790.550983830712,601.2433990349308,30129.39793888236
2014,1,East,Furniture,Bookcases,Sauder Cornerstone Collection Library,61.96,-53.2856,4,14236.895,14790.550983830712,601.2433990349308,30129.39793888236
2014,1,East,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,127.104,28.5984,6,14236.895,14790.550983830712,601.2433990349308,30129.39793888236
2014,1,East,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",9.94,3.0814,2,14236.895,14790.550983830712,601.2433990349308,30129.39793888236
2014,1,East,Office Supplies,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",19.536,4.884,3,14236.895,14790.550983830712,601.2433990349308,30129.39793888236
2014,1,East,Office Supplies,Binders,Avery Metallic Poly Binders,3.438,-2.5212,2,14236.895,14790.550983830712,601.2433990349308,30129.39793888236
2014,1,East,Office Supplies,Binders,GBC Linen Binding Covers,18.588,-13.6312,2,14236.895,14790.550983830712,601.2433990349308,30129.39793888236
2014,1,East,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",3.928,1.3257,1,14236.895,14790.550983830712,601.2433990349308,30129.39793888236
2014,1,East,Office Supplies,Labels,Round Specialty Laser Printer Labels,30.072,10.1493,3,14236.895,14790.550983830712,601.2433990349308,30129.39793888236
2014,1,East,Office Supplies,Paper,Xerox 1923,37.408,13.0928,7,14236.895,14790.550983830712,601.2433990349308,30129.39793888236
2014,1,East,Technology,Phones,AT&T 841000 Phone,124.2,-31.05,3,14236.895,14790.550983830712,601.2433990349308,30129.39793888236
2014,1,South,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2573.82,746.4078,9,14236.895,14790.550983830712,601.2433990349308,30129.39793888236
2014,1,South,Furniture,Chairs,Global Highback Leather Tilter in Burgundy,545.94,87.3504,6,14236.895,14790.550983830712,601.2433990349308,30129.39793888236
2014,1,South,Furniture,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,1067.94,224.2674,3,14236.895,14790.550983830712,601.2433990349308,30129.39793888236
2014,1,South,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",38.6,11.58,4,14236.895,14790.550983830712,601.2433990349308,30129.39793888236
2014,1,South,Furniture,Furnishings,Eldon Image Series Black Desk Accessories,12.42,4.4712,3,14236.895,14790.550983830712,601.2433990349308,30129.39793888236
2014,1,South,Furniture,Furnishings,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",62.82,30.7818,3,14236.895,14790.550983830712,601.2433990349308,30129.39793888236
2014,1,South,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",51.94,21.2954,1,14236.895,14790.550983830712,601.2433990349308,30129.39793888236
2014,1,South,Furniture,Furnishings,Ultra Door Pull Handle,25.248,4.1028,3,14236.895,14790.550983830712,601.2433990349308,30129.39793888236
2014,1,South,Office Supplies,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",12.78,5.2398,3,14236.895,14790.550983830712,601.2433990349308,30129.39793888236
2014,1,South,Office Supplies,Art,Newell 327,6.63,1.7901,3,14236.895,14790.550983830712,601.2433990349308,30129.39793888236
2014,1,South,Office Supplies,Art,Newell 351,22.96,6.6584,7,14236.895,14790.550983830712,601.2433990349308,30129.39793888236
2014,1,South,Office Supplies,Art,Rogers Handheld Barrel Pencil Sharpener,5.48,1.4796,2,14236.895,14790.550983830712,601.2433990349308,30129.39793888236
